sample,label,A1BG,A2BP1,A2M
GSM1424148,0,0.03016223,0.140738,-0.01230472
GSM1424149,0,-0.03328753,-0.081324945,0.1035727
GSM1424150,0,-0.034749615,0.08432657,-0.01675996
GSM1424151,0,-0.026926145,0.13467112,-0.1313373
GSM1424152,0,0.00825039,-0.2991948,0.1425472
GSM1424153,0,-0.01440922,0.012086055,-0.009930992
GSM1424154,0,-0.029218096,-0.074313665,0.0122593
GSM1424155,0,-0.02125752,0.050599542,-0.08760745
GSM1424156,0,-0.01837843,0.08290841,-0.04815311
GSM1424157,0,0.020194765,0.055100345,0.009386493
GSM1424158,0,-0.003750312,0.19333095,-0.0502279
GSM1424159,0,0.012947947,0.156798505,-0.05429123
GSM1424160,0,0.052169795,0.08499926,-0.1476276
GSM1424161,0,-0.01347944,-0.1389712,0.1848868
GSM1424162,0,-0.11811895,0.052247115,-0.01897435
GSM1424163,0,-0.017965115,0.10679728,-0.04794593
GSM1424164,0,-0.070776665,0.087095975,-0.08424088
GSM1424165,0,-0.063341245,0.04729135,-0.03415549
GSM1424166,0,0.074975355,0.04501526,0.05531558
GSM1424167,0,0.1035629,-0.20430965,-0.1659719
GSM1424168,0,0.05068677,0.096762275,-0.09662209
GSM1424169,0,0.014180344,-0.09364863,0.06577342
GSM1424170,0,0.019609861,-0.108542535,0.1243317
GSM1424171,0,-0.038254865,0.101955455,-0.1479659
GSM1424172,0,-0.003630135,-0.14899805,0.01289157
GSM1424173,0,0.03180879,-0.051661245,-0.04668032
GSM1424174,0,-0.037684125,0.07381855,-0.0237198
GSM1424175,0,0.008812942,-0.03218177,-0.1437653
GSM1424176,0,-0.007806316,0.24619585,0.006577136
GSM1424177,0,0.008716188,0.067849675,0.03550911
GSM1424178,0,-0.00210066,0.038014245,-0.08733436
GSM1424179,0,-0.03580728,0.116214785,-0.000810385
GSM1424180,0,-0.022283655,0.1094942,0.000796544
GSM1424181,0,-0.01983776,0.133929045,-0.1131725
GSM1424182,0,-0.045311965,0.11897995,-0.1935437
GSM1424183,0,0.017835785,0.188137,-0.1197309
GSM1424184,0,-0.03005493,0.112461975,-0.1073291
GSM1424185,0,-0.06362155,0.00859086,-0.3193946
GSM1424186,0,-0.04888318,0.2345109,-0.1291262
GSM1424187,0,-0.011848585,0.04806293,-0.07584321
GSM1424188,0,0.003973235,0.115879035,-0.1859039
GSM1424189,0,0.001117211,0.09091402,0.03279136
GSM1424190,0,0.08665276,0.14094135,-0.0911436
GSM1424191,0,-0.04451288,0.07413638,0.003608955
GSM1424192,0,-0.04874354,0.16551005,-0.1637767
GSM1424193,0,0.026308235,0.1414654,-0.02245229
GSM1424194,0,0.097532525,-0.175360575,-0.08293089
GSM1424195,0,0.01011675,0.06407865,0.02383888
GSM1424196,0,-0.003190191,0.101900615,-0.05584945
GSM1424197,0,0.081208445,0.070527308,-0.1226666
GSM1424198,0,0.043558805,-0.36707035,0.294288
GSM1424199,0,-0.027935723,0.105384,-0.1212801
GSM1424200,0,-0.041133125,0.003424515,-0.1110148
GSM1424201,0,-0.018493725,0.1543132,0.005132118
GSM1424202,0,-0.006272525,-0.09289502,-0.0718786
GSM1424203,0,0.02772437,-0.1398459,0.07894475
GSM1424204,0,-0.02049354,0.11708413,-0.1259694
GSM1424205,0,-0.02183444,0.10315756,0.009682641
GSM1424206,0,-0.000557715,0.06976223,-0.09456635
GSM1424207,0,-0.08879324,0.2335485,-0.1419206
GSM1424208,0,0.014149635,0.01753631,-0.1999902
GSM1424209,0,-0.02686941,-0.17264215,-0.2636172
GSM1424210,0,0.00555414,-0.10571826,0.1196274
GSM1424211,0,-0.018804055,-0.2801247,0.1358619
GSM1424212,0,-0.005680925,-0.000722715,0.09008786
GSM1424213,0,3.85E-05,-0.27324085,0.06647941
GSM1424214,0,0.089246892,-0.3033454,-0.01424029
GSM1424215,0,0.042120245,-0.09697849,0.04277583
GSM1424216,0,0.041465525,-0.054295615,0.2056054
GSM1424217,0,-0.012989565,-0.3416886,0.1236537
GSM1424218,0,0.10337851,-0.17747795,0.05318661
GSM1424219,0,0.034647075,-0.077402385,0.05026557
GSM1424220,0,0.083750185,-0.3969158,0.01371579
GSM1424221,0,0.10542485,-0.086669645,0.1009512
GSM1424222,0,0.028508275,-0.1430083,0.1053875
GSM1424223,0,0.123197565,-0.007212855,0.1116457
GSM1424224,0,0.083188115,0.077832235,0.02272507
GSM1424225,0,0.076179043,-0.018877445,-0.01831669
GSM1424226,0,0.074775535,0.0891693,-0.0390086
GSM1424227,0,0.11564245,-0.073584255,0.05951871
GSM1424228,0,0.090892125,0.011623597,0.002550411
GSM1424229,0,0.048850495,0.08954569,-0.04926357
GSM1424230,0,0.06005751,0.04751194,0.1208169
GSM1424231,0,0.03900042,0.009908695,-0.0792805
GSM1424232,0,0.0960759,-0.071577588,0.05091134
GSM1424233,0,0.1255673,-0.16114425,-0.01412925
GSM1424234,0,0.111372405,-0.01554843,0.02485613
GSM1424235,0,0.14715655,-0.1653245,0.1912353
GSM1424236,0,0.067579425,0.05985113,-0.04588554
GSM1424237,0,0.130491875,-0.076878165,0.03434079
